,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
91281,2022,IR,339278,AMERICAN LIQUOR/CC ON FILE,2115 E VALLEY PKWY STE A,ESCONDIDO,92027,Total,BR3,Jeffrey Bowler,750.03,624027
91282,2022,IR,339314,BONSALL FINE WINE & SPIRITS/30,5256 MISSION RD STE 841,BONSALL,92003,Total,BR3,Jeffrey Bowler,30136.7,559120
91283,2022,IR,339321,OAK HILL MARKET,497 OAK ST,SAN FRANCISCO,94102,Total,JR7,House-Jr7,4381.86,500335
91284,2022,IR,339322,HARVEST HILLS MARKET,3216 FOLSOM ST,SAN FRANCISCO,94110,Total,JR5,Roberta Lafrance,18458.34,488947
91285,2022,IR,339358,WHOLE FOODS STN #10362,690 STANYAN ST,SAN FRANCISCO,94117,Total,JR7,House-Jr7,93550.94,500671
91286,2022,IR,339381,NEW EARTH MARKET,1475 THARP RD,YUBA CITY,95993,Total,624,Scott Sullwold,18387.97,478232
91287,2022,IR,339392,FAR WESTERN LIQUOR,3420 ORCUTT RD STE 103,SANTA MARIA,93455,Total,BP2,Joey Forner,4745,486594
91288,2022,IR,339405,BEER AREA LIQUORS,2550 SAN RAMON VALLEY BL,SAN RAMON,94583,Total,JS6,Rhiannon Carroll,3820.13,504887
91289,2022,IR,339453,SUPERETTE MARKET,901 HAIGHT STREET,SAN FRANCISCO,94117,Total,JR7,House-Jr7,4755.82,503540
91290,2022,IR,339461,RO CO WINE & SPIRITS,2220 LAKE WASHINGTON BLV,WEST SACRAMENTO,95691,Total,JS2,Donald Morisi,68923.36,603864
91291,2022,IR,339487,DAVIS BEER SHOPPE THE,211 G STREET,DAVIS,95616,Total,JS7,Addison Morphy,65215.85,500810
91292,2022,IR,339515,MOLLIE STONES CASTRO,4201 18TH ST,SAN FRANCISCO,94114,Total,JR6,Doo Chi,62379.6,507065
91293,2022,IR,339516,"LIQUOR CHEST, THE",5298 KANAN RD.,AGOURA HILLS,91301,Total,BP1,Daniel Bloomgren,12729.18,528724
91294,2022,IR,339525,HAIGHT STREET MARKET,1530 HAIGHT STREET,SAN FRANCISCO,94117,Total,JR5,Roberta Lafrance,11478.33,623247
91295,2022,IR,339525,HAIGHT STREET MARKET +350306+3,1530 HAIGHT STREET,SAN FRANCISCO,94117,Total,JR5,Roberta Lafrance,8842.17,623247
91296,2022,IR,339569,SUN VALLEY MARKET,230 REINA DEL MAR AVE,PACIFICA,94044,Total,JT1,Justin Koury,5756,489479
91297,2022,IR,339594,SPIRIT LIQUOR,2341 S GARFIELD AVE,MONTEREY PARK,91754,Total,BQ1,Ryan Younkers,3878.84,550690
91298,2022,IR,339595,THE CASK,8616 W PICO BLVD,LOS ANGELES,90035,Total,BPA,Mark Goldfarb,9508.06,571544
91299,2022,IR,339615,CORKS N' CROWNS,32 ANACAPA UNIT A,SANTA BARBARA,93101,Total,BP2,Joey Forner,29018.29,500804
91300,2022,IR,339631,BUZZ WINE BEER SHOP,460 S. SPRING ST.,LOS ANGELES,90013,Total,BPB,Jason Tragni,53003.67,507096
91301,2022,IR,339645,CALWINE,1014 CLINTON ST,NAPA,94559,Total,JS1,Yvette Sanchez,40753,534925
91302,2022,IR,339673,GARFIELD LIQUOR,2433 W WHITTIER BLVD,MONTEBELLO,90640,Total,BQ1,Ryan Younkers,8774.97,529605
91303,2022,IR,339682,NOB HILL LIQUORS,1000 HYDE ST,SAN FRANCISCO,94109,Total,JR7,House-Jr7,4875.51,556549
91304,2022,IR,339751,CARMEL LIQUOR,8204 SANTA MONICA BLVD,WEST HOLLYWOOD,90046,Total,BPA,Mark Goldfarb,19291.61,545801
91305,2022,IR,339777,LUNARDIS MARKET #10 C02025,2666 S BASCOM AVE,SAN JOSE,95124,Total,JT7,James Rinfret,34006.95,509927
91306,2022,IR,339780,LUNARDIS MARKET #10 - B05 & C0,2666 S BASCOM AVE,SAN JOSE,95124,Total,JT7,James Rinfret,39723.35,509927
91307,2022,IR,339806,SAGE MART (DE),841 N DOWNS ST STE A,RIDGECREST,93555,Total,32N,Belinda Myers,30538.39,513710
91308,2022,IR,339848,WHOLE FOODS LAF #10349,3502 MT DIABLO BLVD,LAFAYETTE,94549,Total,JS3,Tri Pho,123231.2,460525
91309,2022,IR,339854,HOUSE OF WINE & SPIRITS,1660 CAPALINA RD,SAN MARCOS,92069,Total,BR3,Jeffrey Bowler,6510.77,489028
91310,2022,IR,339890,"WOODLANDS STORE, THE",1550 TIBURON BLVD,TIBURON,94920,Total,JR3,Bryan Doyle,67716.62,503872
91311,2022,IR,339926,BOLINAS MARKET,4 BOLINAS AVE,SAN ANSELMO,94960,Total,JR3,Bryan Doyle,2113.62,480110
91312,2022,IR,339946,CAPITOL CELLARS GRANITE BAY,5530 DOUGLAS BLVD STE 17,GRANTE BAY,95746,Total,JS2,Donald Morisi,20447.96,483751
