,year,newchannelid,sold_to,sold_to_name,addrl1,city,zip,mat_class,slsid,slsname,revenue,License No.
95660,2022,OP,325775,CHILI'S GRILL & BAR #0387,800 PASEO DEL REY,CHULA VISTA,91910,Total,SNA,South Natl Accounts,1574.28,297541
95661,2022,OP,325778,CHILI'S GRILL & BAR #0167,10643 VALLEY VIEW BLVD,CYPRESS,90630,Total,SNA,South Natl Accounts,1988.28,298358
95662,2022,OP,325782,CHILI'S GRILL & BAR #1050,12030 LAKEWOOD BLVD,DOWNEY,90242,Total,SNA,South Natl Accounts,1583.28,433453
95663,2022,OP,325783,WILD ANIMAL PARK,1500 SAN PASQUAL VLY RD,ESCONDIDO,92027,Total,313,Bobby Abbasi,6191.52,9433
95664,2022,OP,325785,CHILI'S GRILL & BAR #0269,1105 W VALLEY PKWY,ESCONDIDO,92025,Total,SNA,South Natl Accounts,2019,268416
95665,2022,OP,325787,CHILI'S GRILL & BAR #0148,6775 FALLBROOK AVE,WEST HILLS,91307,Total,SNA,South Natl Accounts,2736,298345
95666,2022,OP,325790,WILMA'S PATIO,203 MARINE AVE,BALBOA ISLAND,92662,Total,312,Marissa Oudt,8484.88,346720
95667,2022,OP,325795,CHILI'S GRILL & BAR #0440,3745 ALTON PKWY,IRVINE,92606,Total,SNA,South Natl Accounts,2583,307252
95668,2022,OP,325804,CHILI'S GRILL & BAR #0761,1600 W IMPERIAL HWY,LA HABRA,90631,Total,SNA,South Natl Accounts,1655.28,381048
95669,2022,OP,325806,CHILI'S GRILL & BAR #0028,630 E HUNTINGTON,MONROVIA,91016,Total,SNA,South Natl Accounts,1088.28,298350
95670,2022,OP,325808,CHILI'S GRILL & BAR #0252,4931 CANDLEWOOD #252,LAKEWOOD,90712,Total,SNA,South Natl Accounts,908.28,298341
95671,2022,OP,325810,CHILI'S GRILL & BAR #0454,8285 FLETCHER PKWY,LA MESA,91942,Total,SNA,South Natl Accounts,1785,324068
95672,2022,OP,325812,CHILI'S GRILL & BAR #0040,9200 RESEDA BLVD,NORTHRIDGE,91324,Total,SNA,South Natl Accounts,1098,298336
95673,2022,OP,325815,CHILI'S GRILL & BAR #0064,475 E HOSPITALITY LANE,SAN BERNARDINO,92405,Total,SNA,South Natl Accounts,638.28,298346
95674,2022,OP,325817,CHILI'S GRILL & BAR #0351,1912 FOOTHILL BLVD,LA VERNE,91750,Total,SNA,South Natl Accounts,1767,285649
