Customer Name,Address,City,State,Zip,Premise,TDLinx Code,Sold to,Licence No.,Channel / Trad Channel,Sub-Channel / Sub Trade Channel,IN SPECTRA,IN GALLO,IN WW
COSTCO WHOLESALE      453,5101 BUSINESS CENTER DR,FAIRFIELD,CA,94534,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      762,1141 W AVENUE L,LANCASTER,CA,93534,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      760,7251 CAMINO ARROYO,GILROY,CA,95020,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4709,1375 E ONTARIO AVE,CORONA,CA,92881,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1001,2700 PARK AVE,TUSTIN,CA,92782,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      478,1099 E HOSPITALITY LN,SAN BERNARDINO,CA,92408,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      422,451 S AIRPORT BLVD,SOUTH SAN FRANCISCO,CA,94080,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1010,14555 VALLEY CENTER DR,VICTORVILLE,CA,92395,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6616,603 S PLACENTIA AVE,FULLERTON,CA,92831,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1267,6898 RALEIGH RD,SAN JOSE,CA,95119,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      671,14501 HINDRY AVE,HAWTHORNE,CA,90250,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1274,7400 ELK GROVE BLVD,ELK GROVE,CA,95757,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1031,2440 DANIELS ST,MANTECA,CA,95337,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      437,8810 TAMPA AVE,NORTHRIDGE,CA,91324,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      777,101 N BEACH BLVD,LA HABRA,CA,90631,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      129,1601 COLEMAN AVE,SANTA CLARA,CA,95050,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6455,2401 N ROSE AVE,OXNARD,CA,93036,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      653,11428 SHERMAN WAY,NORTH HOLLYWOOD,CA,91605,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      132,198 PLAZA DR,VALLEJO,CA,94591,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      432,480 N MCKINLEY ST,CORONA,CA,92879,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      654,900 DUBUQUE AVE,SOUTH SAN FRANCISCO,CA,94080,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4767,39940 10TH ST W,PALMDALE,CA,93551,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1050,340 LAKEWOOD CENTER MALL,LAKEWOOD,CA,90712,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      658,3250 W GRANT LINE RD,TRACY,CA,95304,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE     1002,2201 VERNE ROBERTS CIR,ANTIOCH,CA,94509,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      418,900 S HARBOR BLVD,FULLERTON,CA,92832,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      142,1445 R ST,MERCED,CA,95340,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     4735,1390 S BEACH BLVD,LA HABRA,CA,90631,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      483,650 GATEWAY CENTER DR,SAN DIEGO,CA,92102,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6624,1055 HARRIMAN PL,SAN BERNARDINO,CA,92408,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      455,12700 DAY ST,MORENO VALLEY,CA,92553,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6378,6363 VALLEY SPRINGS PKWY,RIVERSIDE,CA,92507,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       31,4500 W SHAW AVE,FRESNO,CA,93722,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6235,6336 COLLEGE GROVE WAY,SAN DIEGO,CA,92115,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      475,1600 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      423,150 LAWRENCE STATION RD,SUNNYVALE,CA,94086,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      424,2200 E WILLOW ST,SIGNAL HILL,CA,90755,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      118,1900 DAVIS ST,SAN LEANDRO,CA,94577,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE       38,1616 E HAMMER LN,STOCKTON,CA,95210,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6622,8250 POWER INN RD,SACRAMENTO,CA,95828,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      464,7981 E STOCKTON BLVD,SACRAMENTO,CA,95823,Off-Premise,,364559,,,,False,False,True
COSTCO BUSINESS CENTER      943,13225 BEACH BLVD,WESTMINSTER,CA,92683,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      412,1220 W FOOTHILL BLVD,AZUSA,CA,91702,Off-Premise,,364559,,,,False,False,True
SAMS CLUB     6610,3951 GRAND AVE,CHINO,CA,91710,Off-Premise,,364559,,,,False,False,True
COSTCO WHOLESALE      460,895 E H ST,CHULA VISTA,CA,91910,Off-Premise,,364559,,,,False,False,True
